regime,hr_true,hr_delivered,decode_success,energy_j,power_mw,latency_ms,reward,piv,u_pir,snr_db,arm
ppg_degraded,55.13895002861746,73.28834386368452,True,0.1198864,14.985800000000001,122.26418285714286,0.046406623824243105,0.5259523187193115,0.5259523187193115,19.08078167194579,K32_R20_edge
ppg_degraded,64.20863039576598,84.78931140801646,False,0.1198864,14.985800000000001,122.26418285714286,-0.4795408034423202,0.5380650525481827,4.891452748125763e-06,6.062048386051968,K32_R20_edge
ecg_missing,98.0764679123838,98.03921568627453,True,0.1198864,14.985800000000001,122.26418285714286,0.26926449612510833,0.7488101910201767,0.7488101910201767,17.485621951329943,K32_R20_edge
ecg_degraded,84.92972216386207,86.03127082513276,True,0.1198864,14.985800000000001,122.26418285714286,-0.19298528739412973,0.6648057948097164,0.28656040750093864,6.77377083698891,K32_R20_edge
ecg_degraded,55.64771853442395,65.71741511500548,False,0.1198864,14.985800000000001,122.26418285714286,-0.4651588253363656,0.5505012750016458,0.014386869558702697,6.457962060150243,K32_R20_edge
ecg_missing,75.98761641418842,75.98784194528875,True,0.1198864,14.985800000000001,122.26418285714286,0.26974595685402053,0.7492916517490888,0.7492916517490888,19.258887137674233,K32_R20_edge
ecg_degraded,78.74307788845005,78.99615275148658,True,0.1198864,14.985800000000001,122.26418285714286,0.1894621945604228,0.6690078894554912,0.6690078894554912,17.397827415526162,K32_R20_edge
both_degraded,59.584334878224716,86.64526840847113,True,0.1198864,14.985800000000001,122.26418285714286,-0.03129331534733503,0.44825237954773334,0.44825237954773334,17.22562070047674,K32_R20_edge
ppg_degraded,94.07462908455287,94.35625497186761,True,0.1198864,14.985800000000001,122.26418285714286,0.16661511717314248,0.6461608120682109,0.6461608120682109,19.930476844708423,K32_R20_edge
ppg_degraded,56.82032119528421,69.71142955035012,True,0.1198864,14.985800000000001,122.26418285714286,0.13239250937744285,0.6119382042725112,0.6119382042725112,18.34873376183184,K32_R20_edge
ppg_degraded,73.47369142973972,77.71920112312594,True,0.1198864,14.985800000000001,122.26418285714286,0.12368958204789926,0.6032352769429676,0.6032352769429676,16.913297020928837,K32_R20_edge
ppg_missing,81.00441095728182,109.94764397905755,False,0.1198864,14.985800000000001,122.26418285714286,-0.4795456948950683,0.7281622526828706,7.679645468984871e-31,4.9656336211134615,K32_R20_edge
ecg_missing,75.83768122485067,75.84269662921348,True,0.1198864,14.985800000000001,122.26418285714286,0.26981190159292917,0.7493575964879975,0.7493575964879975,18.03845735062822,K32_R20_edge
ecg_missing,85.20791428628844,85.22727272727275,True,0.1198864,14.985800000000001,122.26418285714286,0.2704220806213404,0.7499677755164087,0.7499677755164087,14.267210465255449,K32_R20_edge
both_clean,94.27026723752961,94.24083769633508,True,0.1198864,14.985800000000001,122.26418285714286,0.25547009389033876,0.7350157887854071,0.7350157887854071,18.82384497147178,K32_R20_edge
both_clean,107.3760352901659,107.37885462555063,True,0.1198864,14.985800000000001,122.26418285714286,0.2526282161601943,0.7321739110552626,0.7321739110552626,19.202433830094662,K32_R20_edge
ppg_degraded,67.05206982492749,68.02977092299554,True,0.1198864,14.985800000000001,122.26418285714286,0.24941538957838572,0.7289610844734541,0.7289610844734541,16.294270146694704,K32_R20_edge
ppg_missing,88.9128324247895,81.47495223898446,False,0.1198864,14.985800000000001,122.26418285714286,-0.47885144317539513,0.7224906573921615,0.0006942517196731813,6.258934409224545,K32_R20_edge
ppg_missing,91.77295980020932,91.76863181312571,True,0.1198864,14.985800000000001,122.26418285714286,0.24045205195424857,0.7199977468493169,0.7199977468493169,19.86611407086793,K32_R20_edge
both_degraded,67.56324494074923,70.89733408956609,True,0.1198864,14.985800000000001,122.26418285714286,0.212607074808707,0.6921527697037754,0.6921527697037754,21.54101306780478,K32_R20_edge
both_degraded,50.08940501053017,96.39572633576365,True,0.1198864,14.985800000000001,122.26418285714286,-0.028871395656727136,0.45067429923834124,0.45067429923834124,19.440919223711525,K32_R20_edge
ecg_degraded,108.40761648598476,108.47107438016529,True,0.1198864,14.985800000000001,122.26418285714286,0.1471832997387067,0.6267289946337751,0.6267289946337751,18.113000103959273,K32_R20_edge
ppg_missing,67.90407338101254,69.87577639751552,True,0.1198864,14.985800000000001,122.26418285714286,0.25601769643052735,0.7355633913255957,0.7355633913255957,16.596613190739145,K32_R20_edge
ppg_degraded,68.8391601220602,74.23141069795477,True,0.1198864,14.985800000000001,122.26418285714286,0.09316684245936047,0.5727125373544288,0.5727125373544288,16.858218508031232,K32_R20_edge
ecg_degraded,103.50266422670943,103.50318471337584,True,0.1198864,14.985800000000001,122.26418285714286,0.19076817929503143,0.6703138741900998,0.6703138741900998,14.790331896485673,K32_R20_edge
ppg_missing,85.10977639345448,85.13931888544893,True,0.1198864,14.985800000000001,122.26418285714286,0.25052199569494576,0.7300676905900141,0.7300676905900141,16.178838554896668,K32_R20_edge
